CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,deploymentNumber,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,depth
OC1404b,,,,CE01ISSM-MFC31-00-CPMENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000181,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000184,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-01-VEL3DD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00061,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-02-PRESFA000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00248,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-04-ADCPTM000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00056,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-05-PCO2WB000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00260,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD35-06-PHSEND000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00250,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD37-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000185,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD37-01-OPTAAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00575,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD37-03-CTDBPC000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00126,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-MFD37-03-DOSTAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00174,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000183,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-01-OPTAAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00288,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-02-FLORTD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00218,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-03-CTDBPC000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00127,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-03-DOSTAD000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00173,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-04-VELPTA000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00237,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-05-PCO2WB000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00258,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-06-PHSEND000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00261,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-07-NUTNRB000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00086,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-RID16-08-SPKIRB000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00094,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-SBC11-00-CPMENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000180,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-SBD17-00-DCLENG000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000182,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-SBD17-01-MOPAK0000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,OL000200,44.65828,-124.0956,,
OC1404b,,,,CE01ISSM-SBD17-04-VELPTA000,1,1,2014-04-17T20:53:00,2014-10-10T00:00:00,A00227,,A00239,44.65828,-124.0956,,
OC1410A,,,,CE01ISSM-MFC31-00-CPMENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000187,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-00-DCLENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000190,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-01-VEL3DD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01027,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-02-PRESFA000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01011,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-04-ADCPTM000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01051,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-05-PCO2WB000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00800,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD35-06-PHSEND000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01042,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD37-00-DCLENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000191,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD37-01-OPTAAD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01056,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD37-03-CTDBPC000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01034,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-MFD37-03-DOSTAD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00804,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-00-DCLENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000189,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-01-OPTAAD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00905,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-02-FLORTD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00615,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-03-CTDBPC000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01031,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-03-DOSTAD000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00429,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-04-VELPTA000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01015,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-05-PCO2WB000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00628,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-06-PHSEND000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00650,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-07-NUTNRB000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00123,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-RID16-08-SPKIRB000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A00436,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-SBC11-00-CPMENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000186,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-SBD17-00-DCLENG000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000188,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-SBD17-01-MOPAK0000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,OL000199,44.65833,-124.09583,,
OC1410A,,,,CE01ISSM-SBD17-04-VELPTA000,2,1,2014-10-10T17:42:00,2015-06-02T00:00:00,A01158,,A01016,44.65833,-124.09583,,
PS1506A,,,,CE01ISSM-MFC31-00-CPMENG000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,OL000193,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-00-DCLENG000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,OL000196,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-01-VEL3DD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00247,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-02-PRESFA000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A01014,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-04-ADCPTM000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,N00416,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-05-PCO2WB000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00073,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD35-06-PHSEND000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00266,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-00-DCLENG000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,OL000197,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-01-OPTAAD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00581,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-03-CTDBPC000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A01090,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-03-DOSTAD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00807,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-06-CAMDSA000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,N00515,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-MFD37-07-ZPLSCC000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A01152,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-00-DCLENG000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,OL000195,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-01-OPTAAD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A01192,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-02-FLORTD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00218,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-03-CTDBPC000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00126,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-03-DOSTAD000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00174,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-04-VELPTA000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00239,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-05-PCO2WB000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00260,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-06-PHSEND000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00261,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-07-NUTNRB000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00691,44.65833,-124.09527,,
PS1506A,,,,CE01ISSM-RID16-08-SPKIRB000,3,1,2015-06-03T17:22:00,2015-10-07T00:00:00,N00260,,A00094,44.65833,-124.09527,,
